group,pk,sk,exchange,attack
s3,4,1,79154,11
s3,4,1,148344,15
s3,4,1,77094,14
s3,4,1,87677,12
s3,4,1,99323,9
s3,4,1,127520,11
s3,4,1,108409,15
s3,4,1,97463,11
s3,4,1,116103,11
s3,4,1,87835,12
s3,4,1,98725,13
s3,4,1,129388,13
s3,4,1,150406,8
s3,4,1,136770,10
s3,4,1,99520,12
s3,4,1,99194,11
s3,4,1,117801,11
s3,4,1,88044,11
s3,4,1,100160,10
s3,4,2,88933,13
s3,4,2,118192,13
s3,4,2,87924,15
s3,4,2,77726,9
s3,4,2,118683,13
s3,4,2,139617,25
s3,4,2,88659,10
s3,4,2,114891,13
s3,4,2,98119,14
s3,4,2,129296,11
s3,4,2,108569,13
s3,4,2,118530,19
s3,4,2,118416,17
s3,4,2,151031,12
s3,4,2,90975,13
s3,4,2,88291,9
s3,4,2,79747,14
s3,4,2,78712,15
s3,4,2,90418,14
s3,4,2,109587,16
s3,4,2,105999,13
s3,4,2,95852,10
s3,4,2,130353,14
s3,4,2,96485,12
s3,4,2,88799,13
s3,4,3,138292,15
s3,4,3,89691,15
s3,4,3,77323,18
s3,4,3,99790,17
s3,4,3,96064,21
s3,4,3,90826,19
s3,4,3,106076,9
s3,4,3,100568,11
s3,4,3,135642,13
s3,4,3,109844,18
s3,4,3,156878,14
s3,4,3,80440,12
s3,4,3,109696,16
s3,4,3,118012,15
s3,4,3,107859,13
s3,4,3,106495,15
s3,4,3,98154,13
s3,4,3,86545,11
s3,4,3,87328,15
s3,4,3,88164,14
s3,4,3,119275,16
s3,4,3,129010,13
s3,4,3,119660,13
s3,4,3,78899,15
s3,4,3,190615,17
d5,2,1,45487,9
d5,2,1,43825,8
d5,2,1,43893,7
d5,2,1,43619,8
d5,2,1,41352,8
d5,2,1,41750,6
d5,2,1,44329,10
d5,2,1,43523,7
d5,2,1,43366,8
d5,2,1,42302,9
d5,2,1,43928,8
d5,2,1,41663,6
d5,2,1,43493,7
d5,2,1,64966,7
d5,2,1,64992,6
d5,2,1,44455,9
d5,2,1,45291,10
d5,2,1,41710,7
