pk,sk,exchange,attack
5,1,113338,11
5,1,114209,16
5,1,113633,16
5,1,113880,13
5,1,113889,17
5,1,113101,16
5,1,113908,18
5,1,113511,13
5,1,115983,20
5,1,112875,18
5,1,122530,22
5,1,128790,15
5,1,118459,17
5,1,115179,18
5,1,114061,13
5,1,114889,18
5,1,114170,15
5,1,115507,19
5,1,130593,18
5,1,131898,17
5,1,130887,22
5,1,130831,26
5,1,126739,17
5,1,125215,15
5,1,118218,23
5,1,121773,17
5,1,129421,20
5,1,129075,22
5,1,125062,18
5,1,124635,16
5,1,121292,23
5,1,115504,18
5,1,123498,18
5,1,125607,20
5,1,120067,19
5,1,118575,19
5,1,116545,20
5,1,115389,23
5,1,113654,15
5,1,112613,19
5,1,112886,16
5,1,113003,16
5,1,113215,17
5,1,114350,19
5,1,113827,17
5,1,116695,19
5,1,113482,16
5,1,113926,15
5,1,113092,22
5,1,113792,18
5,1,119406,21
5,1,125564,25
5,1,121051,21
5,1,113132,14
5,1,112898,21
5,1,112898,19
5,1,116737,16
5,1,116275,14
5,1,116190,17
5,1,114435,17
5,1,113201,15
5,1,112931,19
5,1,113971,16
5,2,113943,78
5,2,113579,54
5,2,113583,114
5,2,114690,76
5,2,115037,115
5,2,114467,115
5,2,119570,102
5,2,118204,76
5,2,114892,44
5,2,114075,75
5,2,114388,121
5,2,114895,21
5,2,114726,78
5,2,114973,132
5,2,119881,20
5,2,115800,65
5,2,112966,59
5,2,114450,94
5,2,113033,60
5,2,115634,68
5,2,112714,91
5,2,112542,59
5,2,112858,80
5,2,113695,61
5,2,113295,40
5,2,113582,59
5,2,113713,88
5,2,113094,97
5,2,113253,93
5,2,112487,37
5,2,114204,64
5,2,114180,62
5,2,116349,132
5,2,111800,40
5,2,113192,105
5,2,113589,54
5,2,113578,133
5,2,112602,64
5,2,113379,86
5,2,112401,106
5,2,113471,112
5,2,113854,105
5,2,113239,82
5,2,113382,58
5,2,115510,59
5,2,113580,69
5,2,112911,141
5,2,112418,87
5,2,112938,38
5,2,113046,41
5,2,113460,84
5,2,112849,103
5,2,113173,57
5,2,112787,89
5,2,113360,53
5,2,112854,79
5,2,116139,51
5,2,111968,116
5,2,113855,46
5,2,112655,118
5,2,113291,122
5,2,113829,88
5,2,113777,57
5,2,113412,121
5,2,112918,39
5,2,113573,86
5,2,113416,21
5,2,124078,76
5,2,120540,110
5,2,116118,123
5,2,114069,97
5,2,120012,57
5,2,119066,65
5,2,119088,114
5,2,119344,57
5,2,118998,44
5,2,119354,90
5,2,115230,122
5,2,123014,98
5,2,120857,109
5,2,113828,81
5,2,116987,112
5,2,117827,84
5,2,114638,72
5,2,115665,145
5,2,119051,56
5,2,114917,56
5,2,113676,125
5,2,114548,43
5,2,114477,77
5,2,117895,31
5,2,116993,97
5,2,116569,38
5,2,117161,37
5,2,120207,74
5,2,115113,67
5,2,114621,108
5,2,114980,107
5,2,118672,69
5,2,118773,125
5,3,119067,1125
5,3,119491,563
5,3,118182,282
5,3,118816,791
5,3,117878,1243
5,3,118170,689
5,3,120734,410
5,3,115173,387
5,3,118525,887
5,3,119388,929
5,3,115456,368
5,3,114030,106
5,3,116076,361
5,3,116275,661
5,3,115571,274
5,3,115042,1303
5,3,114563,958
5,3,114729,616
5,3,116444,801
5,3,113823,1093
5,3,116995,129
5,3,115108,1156
5,3,113466,69
5,3,114006,963
5,3,116898,697
5,3,118520,647
5,3,116954,356
5,3,115141,1003
5,3,113924,308
5,3,117648,653
5,3,119334,676
5,3,119152,971
5,3,114247,426
5,3,114982,933
5,3,115872,952
5,3,115093,356
5,3,115193,559
5,3,115357,437
5,3,114633,122
5,3,117164,799
5,3,115954,708
5,3,114774,263
5,3,115608,583
5,3,120209,806
5,3,117498,1273
5,3,115489,732
5,3,113880,807
5,3,116789,666
5,3,118667,1376
5,3,116327,1489
5,3,113677,622
5,3,114647,475
5,3,116055,51
5,3,115974,1092
5,3,114900,931
5,3,119233,733
5,3,117537,166
5,3,116581,1187
5,3,119771,690
5,3,114942,337
5,3,113209,635
5,3,117158,659
5,3,115681,986
5,3,116274,167
5,3,117574,459
5,3,118231,713
5,3,120216,437
5,3,117989,542
5,3,117213,694
5,3,119410,437
5,3,119528,702
5,3,117634,551
5,3,117221,611
5,3,119238,163
5,3,119592,432
5,3,117240,944
5,3,118010,823
5,3,119923,440
5,3,124811,874
5,3,125724,947
5,3,124749,444
5,3,120258,1262
5,3,127404,575
5,3,118481,825
5,3,116406,386
5,3,116420,607
5,3,113729,177
5,3,121286,310
5,3,113924,385
5,3,117529,1326
5,3,120323,1247
5,3,119224,198
5,3,116080,201
5,3,118868,607
5,3,115966,959
5,3,117639,198
5,3,118819,485
5,3,118624,745
5,3,118026,524
5,3,119721,1089
5,4,118647,5098
5,4,115214,8029
5,4,114921,4124
5,4,115378,5106
5,4,115994,9768
5,4,118303,6064
5,4,116814,13036
5,4,114232,7441
5,4,115689,6050
5,4,119528,9166
5,4,120078,5661
5,4,117416,2450
5,4,115066,5273
5,4,119607,9544
5,4,118567,6503
5,4,115246,2350
5,4,114638,1040
5,4,116563,11509
5,4,114609,6278
5,4,116048,8643
5,4,116026,2307
5,4,116703,707
5,4,119512,4660
5,4,118209,6863
5,4,116134,12704
5,4,115080,4573
5,4,114986,1649
5,4,116174,1754
5,4,117137,4513
5,4,115086,8570
5,4,117148,7884
5,4,115343,4352
5,4,116019,12865
5,4,119484,12881
5,4,119620,1933
5,4,118032,8674
5,4,115609,8362
5,4,116193,11706
5,4,115337,13044
5,4,115467,5532
5,4,113488,3936
5,4,114133,8424
5,4,117865,6712
5,4,118363,11643
5,4,118731,2476
5,4,119001,7885
5,4,119426,9238
5,4,115217,9972
5,4,115473,6307
5,4,118449,5859
5,4,118651,8063
5,4,119403,959
5,4,115219,8517
5,4,114785,7678
5,4,119067,612
5,4,116505,8735
5,4,117146,10835
5,4,117711,7223
5,4,117959,6017
5,4,115502,1001
5,4,116241,13001
5,4,115734,12994
5,4,115836,3087
5,4,115201,3242
5,4,115300,1909
5,4,115001,2069
5,4,113174,10950
5,4,117589,4988
5,4,117904,945
5,4,118890,3262
5,4,119759,11514
5,4,118673,3272
5,4,118073,1025
5,4,119191,12380
5,4,115513,1003
5,4,116337,4522
5,4,117337,17217
5,4,114177,3902
