group,pk,sk,exchange,attack,cardinality
s5,6,5,101828,346,120
s5,6,5,93249,212,120
s5,6,5,96477,129,120
s5,6,5,93554,273,120
s5,6,5,104138,337,120
s5,6,5,94293,120,120
s5,6,5,94970,236,120
s5,6,5,93347,202,120
s5,6,5,106551,181,120
s5,6,5,93243,165,120
s5,6,5,94438,194,120
s6,6,1,100483,18,720
s6,6,1,99341,19,720
s6,6,1,98665,17,720
s6,6,1,99300,22,720
s6,6,1,98394,21,720
s6,6,1,99751,20,720
s6,6,1,99050,18,720
s6,6,1,100525,20,720
s6,6,1,97549,855,720
s6,6,1,106991,21,720
s6,6,1,99541,14,720
s6,6,1,102945,21,720
s6,6,1,99375,21,720
s6,6,1,97858,21,720
s6,6,1,98694,17,720
s6,6,1,97479,22,720
s6,6,1,99815,18,720
s6,6,1,99008,18,720
s6,6,1,96817,23,720
s6,6,1,99211,13,720
s6,6,1,100458,24,720
s6,6,1,98533,14,720
s6,6,1,99902,20,720
s6,6,1,99600,19,720
s6,6,1,101503,21,720
s6,6,2,98299,46,720
s6,6,2,106260,58,720
s6,6,2,100200,38,720
s6,6,2,98906,38,720
s6,6,2,97830,47,720
s6,6,2,99449,62,720
s6,6,2,97148,78,720
s6,6,2,98889,48,720
s6,6,2,97895,44,720
s6,6,2,100099,126,720
s6,6,2,98204,58,720
s6,6,2,100010,90,720
s6,6,2,99159,60,720
s6,6,2,102112,102,720
s6,6,2,98299,72,720
s6,6,2,100224,52,720
s6,6,2,99791,102,720
s6,6,2,111862,49,720
s6,6,2,101666,81,720
s6,6,2,105529,88,720
s6,6,2,100721,67,720
s6,6,2,99943,73,720
s6,6,2,99862,52,720
s6,6,2,99285,28,720
s6,6,2,97045,82,720
s6,6,3,97754,222,720
s6,6,3,98084,233,720
s6,6,3,102629,309,720
s6,6,3,97964,322,720
s6,6,3,100280,765,720
s6,6,3,98253,837,720
s6,6,3,99454,468,720
s6,6,3,106085,202,720
s6,6,3,99629,109,720
s6,6,3,101967,586,720
s6,6,3,100510,330,720
s6,6,3,102029,857,720
s6,6,3,101454,462,720
s6,6,3,99349,265,720
s6,6,3,97152,703,720
s6,6,3,101494,207,720
s6,6,3,103551,288,720
s6,6,3,97155,76,720
s6,6,3,98569,149,720
s6,6,3,99979,678,720
s6,6,3,100562,842,720
s6,6,3,101370,782,720
s6,6,3,100863,360,720
s6,6,3,100150,473,720
s6,6,3,115637,987,720
s6,6,4,99676,1695,720
s6,6,4,99880,384,720
